ID_COMPTE;CHOC_TYPE;CHOC_IDX;RESERVE_BE;CAPITAL_REQ;SCR
69;TSX_SHOCK;2;-39.39949;-39.85766;-0.45816803
69;EAFE_SHOCK;3;-39.400356;-39.86603;-0.46567535
69;DEX_SHOCK;4;-39.40624;-39.888683;-0.48244476
70;BASE;0;-53.35852;-49.01072;4.347801
70;SP500_SHOCK;1;-53.337475;-48.934498;4.402977
70;TSX_SHOCK;2;-53.313713;-48.81637;4.497345
70;EAFE_SHOCK;3;-53.306942;-48.810383;4.496559
70;DEX_SHOCK;4;-53.181805;-48.476536;4.705269
71;BASE;0;-102.37058;-103.7009;-1.3303146
71;SP500_SHOCK;1;-102.37611;-103.93161;-1.5555038
71;TSX_SHOCK;2;-102.373886;-103.75573;-1.3818436
71;EAFE_SHOCK;3;-102.372185;-103.806625;-1.4344406
71;DEX_SHOCK;4;-102.404854;-103.96957;-1.5647125
72;BASE;0;-102.927284;-103.155334;-0.22805023
72;SP500_SHOCK;1;-102.80456;-103.34953;-0.5449753
72;TSX_SHOCK;2;-102.89596;-103.20594;-0.3099823
72;EAFE_SHOCK;3;-102.90254;-103.1843;-0.28176117
72;DEX_SHOCK;4;-102.907104;-103.32526;-0.41815186
73;BASE;0;-54.265118;-62.451096;-8.185978
73;SP500_SHOCK;1;-54.170605;-63.945705;-9.775101
73;TSX_SHOCK;2;-54.140488;-63.34431;-9.203823
73;EAFE_SHOCK;3;-54.211224;-62.961483;-8.750259
73;DEX_SHOCK;4;-54.277576;-63.26285;-8.985275
74;BASE;0;-17.013426;-19.504473;-2.491047
74;SP500_SHOCK;1;-16.940704;-20.016;-3.0752964
74;TSX_SHOCK;2;-16.973543;-19.747953;-2.7744102
74;EAFE_SHOCK;3;-16.983015;-19.697653;-2.7146378
74;DEX_SHOCK;4;-16.96242;-19.964878;-3.0024586
75;BASE;0;-91.910194;-106.46039;-14.550194
75;SP500_SHOCK;1;-92.784615;-107.3021;-14.517487
75;TSX_SHOCK;2;-92.63743;-107.11026;-14.472832
75;EAFE_SHOCK;3;-92.41549;-106.93041;-14.514923
75;DEX_SHOCK;4;-92.61026;-107.18871;-14.578453
76;BASE;0;-111.17839;-107.65468;3.5237122
76;SP500_SHOCK;1;-110.43131;-107.664825;2.7664871
76;TSX_SHOCK;2;-110.95246;-107.64106;3.3114014
76;EAFE_SHOCK;3;-111.00936;-107.64241;3.366951
76;DEX_SHOCK;4;-110.981285;-107.73868;3.242607
