ID_COMPTE;DELTA_SP500_RESERVE;DELTA_TSX_RESERVE;DELTA_EAFE_RESERVE;DELTA_DEX_RESERVE;DELTA_SP500_CAPITAL;DELTA_TSX_CAPITAL;DELTA_EAFE_CAPITAL;DELTA_DEX_CAPITAL
66;0.09622574;0.09556198;0.06212616;0.24361801;-0.33563614;-0.24723816;-0.18136978;-1.5231934
67;-0.025215149;0.0;-0.0021743774;-0.022720337;-0.45160675;0.0;-0.046028137;-0.09728241
68;-1.3903923;-0.18344879;-0.061590195;-0.122270584;-1.9924698;-0.26244354;-0.088207245;-0.17898178
69;-0.006324768;-0.0033836365;-0.0042495728;-0.010131836;-0.044029236;-0.023651123;-0.032024384;-0.054676056
70;0.021045685;0.044807434;0.05157852;0.17671585;0.076221466;0.1943512;0.20033646;0.5341835
71;-0.0055236816;-0.0033035278;-0.0016021729;-0.03427124;-0.23071289;-0.05483246;-0.10572815;-0.26866913
72;0.12272644;0.031326294;0.024742126;0.020179749;-0.19419861;-0.050605774;-0.028968811;-0.16992188
73;0.09451294;0.124629974;0.053894043;-0.012458801;-1.4946098;-0.8932152;-0.5103874;-0.81175613
74;0.07272148;0.03988266;0.030410767;0.051006317;-0.511528;-0.24348068;-0.19318008;-0.46040535
75;-0.87442017;-0.7272339;-0.5052948;-0.7000656;-0.84171295;-0.6498718;-0.4700241;-0.7283249
76;0.74707794;0.22592926;0.16902924;0.19710541;-0.010147095;0.013618469;0.012268066;-0.083999634
77;0.027061224;0.0086147785;0.0012233257;0.0014433861;-0.026925325;-0.0062565804;-0.00086569786;-0.0013132095
78;0.33420563;0.07946777;0.19597626;0.25097656;-0.059776306;-0.014862061;-0.026153564;-0.13614655
79;-0.35827255;-0.12358093;-0.31105804;-0.2451706;-0.6286545;-0.21981812;-0.54761124;-0.39933777
80;0.09963226;0.071876526;0.039878845;0.051940918;0.052303314;0.05073929;0.025939941;0.003227234
81;0.3847046;0.0689621;0.1554985;0.21790695;-0.07157898;-0.007160187;-0.018829346;-0.077610016
82;1.5209656;2.4054031;0.55789185;0.7974014;0.5175781;1.1529999;0.21144867;0.17533875
83;0.1596756;0.30472565;0.0045776367;0.11338806;-0.038124084;0.11556244;-0.00038909912;-0.12689972
84;0.0015563965;0.22266388;0.0059432983;-0.034347534;-0.048355103;-0.22506714;-0.06335449;-0.45896912
85;-2.2473898;-0.41170597;-0.5592871;-1.5148611;-7.0486565;-1.3782616;-1.8781853;-4.471493
86;0.5811081;0.48080444;0.22271729;0.8488846;0.09251404;0.15312195;0.050712585;-0.063201904
87;-0.09995842;-0.050956726;-0.0049762726;-0.020019531;-0.35713387;-0.2154541;-0.027627945;-0.066516876
88;-0.1780777;-0.04320526;-0.021011353;-0.08849335;-0.8309326;-0.19197083;-0.10170746;-0.24640656
89;-0.015220642;-0.0063972473;-0.0076446533;-0.034664154;-0.120212555;-0.18476868;-0.07218933;-0.19156265
90;-0.26341248;-0.12337494;-0.02268982;-0.15725708;-0.7585144;-0.40876007;-0.071640015;-0.3852005
91;-0.07816315;-0.012554169;-0.0035743713;-0.022539139;-1.0710316;-0.39735222;-0.09308052;-0.21471596
92;-1.0333033;-0.29436493;-0.11507416;-0.16525745;-3.3890724;-1.0637684;-0.4200096;-0.5566273
93;-0.008441925;-0.0030441284;-0.0033073425;-0.022159576;-0.16156769;-0.03408432;-0.07432175;-0.1769371
94;0.003684044;0.003367424;0.0015563965;0.012143135;-0.050418854;-0.040880203;-0.018639565;-0.19378471
95;-1.7368282;-0.17782772;-0.24378324;-0.1984793;-4.900385;-0.5237808;-0.7228565;-0.56035614
96;-0.05399704;-0.25403214;-0.09889984;-0.14397049;-0.08233261;-0.35674667;-0.14803696;-0.22916031
97;-0.06737518;-0.1136837;-0.024662018;-0.059116364;-0.31959152;-0.637331;-0.1219635;-0.25404167
98;0.10977554;0.024349213;0.030910492;0.05747986;-0.22169876;-0.039848328;-0.045597076;-0.28608704
99;-0.10294342;0.0;0.0;0.0;-0.41698647;0.0;0.0;0.0
100;-2.9306335;-7.7745667;-3.1682434;-0.1343689;-2.0381775;-5.534729;-2.1994934;-0.11444092
101;-0.19045639;-0.058574677;-0.018230438;-0.040065765;-0.63362885;-0.23771286;-0.07193756;-0.12043762
102;-0.15789413;-0.118507385;-0.055908203;-0.08523178;-0.4412117;-0.42843628;-0.16501617;-0.20004272
103;-0.14978027;-0.22304153;-0.107437134;-0.16441727;-0.17650986;-0.23978043;-0.123104095;-0.20635223
104;-1.4946823;-0.14984512;-0.08282089;-0.1413002;-2.0899048;-0.21081543;-0.114982605;-0.19026947
105;0.006006241;0.004459381;0.002319336;0.010116577;-0.038202286;-0.02926445;-0.011068344;-0.074640274
106;-0.03690338;-0.0049037933;-0.000869751;-0.003211975;-0.61790466;-0.08503723;-0.017427444;-0.043611526
107;-0.086969376;-0.013563156;-0.014370918;-0.052615166;-0.24756813;-0.045523643;-0.048075676;-0.14754009
108;-0.39196777;-0.16317558;-0.05682373;-0.049938202;-0.70961;-0.30372238;-0.102134705;-0.08460426
