an_proj,scn_proj,RENDEMENT,TYPE
2.0,46.0,-0.118328525486572,b'INTERNE'
2.0,47.0,0.0618021560695032,b'INTERNE'
2.0,48.0,0.325982817195846,b'INTERNE'
2.0,49.0,0.174093671419256,b'INTERNE'
2.0,50.0,-0.250700405034497,b'INTERNE'
2.0,51.0,-0.143673956536853,b'INTERNE'
2.0,52.0,0.397078991057691,b'INTERNE'
2.0,53.0,-0.362443295492414,b'INTERNE'
2.0,54.0,0.150236448650711,b'INTERNE'
2.0,55.0,0.130768249654401,b'INTERNE'
2.0,56.0,0.276970732770011,b'INTERNE'
2.0,57.0,-0.163651614788158,b'INTERNE'
2.0,58.0,-0.015494880620993,b'INTERNE'
2.0,59.0,0.768262494953613,b'INTERNE'
2.0,60.0,0.299434112520569,b'INTERNE'
2.0,61.0,-0.148525068940742,b'INTERNE'
2.0,62.0,0.21390194656672,b'INTERNE'
2.0,63.0,-0.234274793244242,b'INTERNE'
2.0,64.0,-0.322700544784391,b'INTERNE'
2.0,65.0,-0.320489213650886,b'INTERNE'
2.0,66.0,-0.195687628763542,b'INTERNE'
2.0,67.0,0.00169170953054731,b'INTERNE'
2.0,68.0,-0.208201333943232,b'INTERNE'
2.0,69.0,-0.140620282259257,b'INTERNE'
2.0,70.0,0.596537028213193,b'INTERNE'
2.0,71.0,-0.0180018755598876,b'INTERNE'
2.0,72.0,0.0544855656106225,b'INTERNE'
2.0,73.0,0.684800532392271,b'INTERNE'
2.0,74.0,0.212477457347218,b'INTERNE'
2.0,75.0,-0.150018972135416,b'INTERNE'
2.0,76.0,0.127731457268021,b'INTERNE'
2.0,77.0,0.154020005622226,b'INTERNE'
2.0,78.0,-0.234583277606701,b'INTERNE'
2.0,79.0,0.0799564681478826,b'INTERNE'
2.0,80.0,-0.164268096547714,b'INTERNE'
2.0,81.0,-0.0809116668392188,b'INTERNE'
2.0,82.0,-0.10804254923343,b'INTERNE'
2.0,83.0,0.206259996627522,b'INTERNE'
2.0,84.0,-0.148921139256403,b'INTERNE'
2.0,85.0,-0.258903081513903,b'INTERNE'
2.0,86.0,-0.103953583107208,b'INTERNE'
2.0,87.0,-0.0912735165926465,b'INTERNE'
2.0,88.0,-0.117381364506867,b'INTERNE'
2.0,89.0,-0.241028035709086,b'INTERNE'
2.0,90.0,-0.313224688892545,b'INTERNE'
2.0,91.0,0.0957687002917553,b'INTERNE'
2.0,92.0,-0.0525375557725916,b'INTERNE'
2.0,93.0,0.583890152120691,b'INTERNE'
2.0,94.0,0.737868301164709,b'INTERNE'
2.0,95.0,0.00502607752100981,b'INTERNE'
2.0,96.0,-0.295709023218529,b'INTERNE'
2.0,97.0,-0.0630914744675634,b'INTERNE'
2.0,98.0,0.243216057344118,b'INTERNE'
2.0,99.0,-0.162102715908377,b'INTERNE'
2.0,100.0,-0.0621553581869924,b'INTERNE'
3.0,1.0,-0.274724306861801,b'INTERNE'
3.0,2.0,0.298829936175208,b'INTERNE'
