forward_rate,AJUST_FORWARD_RATE_VM_0,rendDEX_an,rendMM_an,rendTSX_an,rendSP500_an,rendEAFE_an,an_eval_int,mois_eval,scn_eval_int
0.0335171629,0,-0.087171521,-0.009856076,0.2279137103,-0.271512034,-0.21411368,2,12,3
0.0354725589,0,-0.062164119,0.0642761219,0.5122251794,0.2511137642,0.2998964955,3,12,3
0.0389743865,0,0.104175802,0.0317427006,0.6818094906,-0.048438037,0.1825170822,4,12,3
0.0424092394,0,-0.003645373,0.0298783653,0.4455175642,0.2672386103,0.2842408451,5,12,3
0.045214372,0,0.1423708709,-0.06270981,0.1825067943,-0.091886332,-0.01352853,6,12,3
0.0472869242,0,0.0606157795,0.2667541763,-0.190824526,-0.187049864,-0.309073342,7,12,3
0.0487083247,0,0.2215251364,0.0450318249,0.3186994367,0.2690769275,0.2316389513,8,12,3
0.0496146018,0,-0.132044396,0.0968168851,0.0977204661,0.0486050398,0.0970895865,9,12,3
0.0501403623,0,-0.072879599,0.0966343332,0.1908255055,0.1138453586,0.1292501499,10,12,3
0.0503984927,0,0.2149370011,0.1506208836,-0.254474213,-0.356645081,-0.039578313,11,12,3
0.050476111,0,-0.021290785,-0.078811984,0.134537052,0.2245098533,0.1139474255,12,12,3
0.050437108,0,0.2848535906,0.0473776508,0.1484989446,0.2298234985,0.0071888086,13,12,3
0.0503267034,0,-0.103954244,0.1723695283,-0.080371999,0.1185374944,0.0776982521,14,12,3
0.0501760351,0,0.0900621721,0.1753747437,-0.281339619,-0.238759893,-0.009543031,15,12,3
0.0500060409,0,-0.214747728,-0.11478152,-1.006969387,-0.373521675,-0.906024713,16,12,3
0.0498304804,0,0.0762481662,-0.071700564,-0.22734474,0.0980285463,-0.16746248,17,12,3
0.0496581668,0,-0.058367869,-0.24398578,0.4677988525,-0.134698049,-0.130663201,18,12,3
0.0494945644,0,-0.21827729,0.2381859806,0.0596769483,-0.125579019,-0.148864194,19,12,3
0.0493429038,0,0.0267125098,0.1886122452,-0.473928664,-0.20417872,-0.089349816,20,12,3
0.0492049435,0,-0.187740094,-0.027573398,-0.591123745,0.0688238855,0.1572951652,21,12,3
0.0490814882,0,-0.048174228,0.1363388571,-0.578133717,0.0386734943,-0.217564008,22,12,3
0.0489727315,0,0.1015019285,-0.055103382,0.0820307943,0.0217486612,0.2244466604,23,12,3
0.0488784849,0,0.10827137,0.0219150499,-0.456853949,0.1988628485,-0.007785063,24,12,3
0.0487983261,0,-0.154359889,0.0377147203,-0.916544412,-0.041003042,-0.042404966,25,12,3
0.0487316968,0,0.028927454,0.0767172826,0.1884183704,-0.070686584,-0.277513705,26,12,3
0.0486779638,0,0.0140140724,0.0494256233,0.0245352447,-0.096272489,-0.002820546,27,12,3
0.0486364603,0,-0.094623657,0.1115827293,-0.102917491,-0.103561138,-0.2703014,28,12,3
0.0486065103,0,-0.057631532,0.1656987534,0.5489346473,0.2054043332,0.2857985784,29,12,3
0.0485568129,0,-0.020538202,-0.032139013,-0.357445953,-0.107827007,-0.226183419,30,12,3
0.0476815081,0,-0.192481619,0.1135802297,0.1295382165,-0.11926088,-0.075638969,31,12,3
0.0475379436,0,-0.137569992,-0.187308582,-0.644657182,-0.636003169,-0.519857533,32,12,3
0.0475379436,0,-0.130064498,0.1242628653,-0.049522239,-0.001499768,0.055045718,33,12,3
0.0475379436,0,0.0518754693,0.1852121766,0.2452289104,0.407718113,0.4328821806,34,12,3
0.0475379436,0,0.0257855955,-0.117156494,-0.186753356,0.0983393037,-0.250372715,35,12,3
0.0475379436,0,0.0288654673,-0.108136375,-0.16855784,-0.066480768,-0.206562694,36,12,3
0.0475379436,0,-0.138769015,0.071358608,0.3876784032,-0.032288058,-0.192383707,37,12,3
0.0475379436,0,0.1284313493,0.0792083113,-0.078640814,0.2037238292,-0.054882912,38,12,3
0.0475379436,0,0.1092372127,-0.021629683,-0.056497577,0.6213832107,0.3917832617,39,12,3
0.0475379436,0,-0.192024089,-0.011069473,0.1675560102,0.1566770122,0.3389737965,40,12,3
0.0475379436,0,-0.07066749,0.1416173854,-0.401507731,0.0076399606,0.0724560823,41,12,3
0.0475379436,0,-0.08031942,0.1051340103,-0.507569791,0.1827515544,0.1840494915,42,12,3
0.0475379436,0,-0.016462049,0.1453552685,0.3740124573,-0.173451373,0.1611645417,43,12,3
0.0475379436,0,0.0016279206,-0.23348224,0.0403986326,0.2061381275,-0.063223318,44,12,3
0.0475379436,0,0.2073241203,-0.038944636,0.1522773075,0.0264606587,0.3227299309,45,12,3
0.0475379436,0,0.2337806058,-0.063454104,-0.163681596,0.0669712327,0.0704366941,46,12,3
0.0475379436,0,0.0304501088,0.1483925358,-0.095679388,0.1313504144,0.1531310852,47,12,3
0.0475379436,0,-0.017606289,-0.07873906,-0.019235925,0.1663218762,0.2961292182,48,12,3
0.0475379436,0,-0.204267932,0.125081556,-0.357223437,-0.189206617,-0.414719802,49,12,3
0.0475379436,0,0.2098837979,0.0214249218,-0.008281938,0.5824042248,0.5992488859,50,12,3
0.0475379436,0,-0.024133768,0.289839301,-0.546737741,-0.130715344,-0.049140002,51,12,3
0.0475379436,0,-0.01586747,-0.056974729,0.4430013628,-0.080869725,-0.145664379,52,12,3
0.0475379436,0,-0.144258206,0.2223061533,-0.221319264,-0.16975668,-0.150896681,53,12,3
0.0475379436,0,0.2581985296,-0.129272267,0.3298537773,0.1444499914,0.2079371281,54,12,3
0.0475379436,0,-0.050550104,0.0596934674,-0.333411767,-0.41547202,-0.440046064,55,12,3
0.0475379436,0,-0.218781737,0.106104402,-0.235296301,-0.11001133,-0.282313933,56,12,3
0.0475379436,0,0.2979603553,-0.208680275,0.2425783996,0.5320378479,0.5860418962,57,12,3
0.0475379436,0,-0.165011085,-0.046672176,0.2398449033,0.2793463774,0.3047509362,58,12,3
0.0475379436,0,0.1880580662,-0.079608913,0.236560716,0.2569676371,0.1771936537,59,12,3
0.0475379436,0,-0.094835861,0.0834105396,0.2044141631,-0.12607644,0.1884081886,60,12,3
0.0475379436,0,0.15941556,0.0239464211,0.5352510704,0.1116519534,0.0755614124,61,12,3
0.0475379436,0,-0.003982878,0.0753300838,0.2449632583,0.2158739389,0.0607722674,62,12,3
0.0475379436,0,-0.126271796,0.2678755646,-0.043008338,-0.007361662,-0.088642842,63,12,3
0.0475379436,0,0.0981789347,-0.130328166,-0.302662253,-0.142830742,-0.090315756,64,12,3
0.0475379436,0,0.1999691849,0.079803233,-0.029876928,0.0853186769,0.1362967624,65,12,3
0.0475379436,0,0.1173153731,0.1419205635,-0.207111679,-0.237210654,-0.27291909,66,12,3
0.0475379436,0,0.0172295337,-0.007058186,-0.228087063,0.1817346675,0.0795735794,67,12,3
0.0475379436,0,-0.16952828,0.0480798824,0.1234226081,-0.15978644,-0.089265207,68,12,3
0.0475379436,0,0.1827085572,0.0839152047,0.4892101091,0.0930914319,0.0693320303,69,12,3
0.0475379436,0,0.2052886583,0.0164292413,0.2465298097,0.3609017644,0.3362448025,70,12,3
0.0475379436,0,0.0620503095,0.1646928614,-0.459095334,0.3100792084,0.3289557799,71,12,3
