ID_COMPTE,scn_eval,VP_FLUX_DISTRIBUABLES
2.0,85,-42882.204382854085
2.0,86,-44935.81529645723
2.0,87,-37487.63745981081
2.0,88,-38609.84193805215
2.0,89,-38240.86900742084
2.0,90,-40149.02726457173
2.0,91,-39037.31270775607
2.0,92,-39005.631749446715
2.0,93,-37561.65356638012
2.0,94,-37928.63111735071
2.0,95,-46809.54461081202
2.0,96,-37671.638477837376
2.0,97,-38876.508785727856
2.0,98,-40044.458638598866
2.0,99,-40464.625247545984
2.0,100,-41930.609439721884
3.0,1,-35680.05626511336
3.0,2,-39200.69332301315
3.0,3,-37046.843444782164
3.0,4,-37346.69122857916
3.0,5,-35813.50473904104
3.0,6,-38437.76078619814
3.0,7,-39176.41965960401
3.0,8,-36347.00286349918
3.0,9,-37916.338663055256
3.0,10,-41085.24217004895
3.0,11,-38053.39630657765
3.0,12,-35061.07419822491
3.0,13,-39078.585007014095
3.0,14,-37901.619794014834
3.0,15,-40487.68204731878
3.0,16,-35200.7005386894
3.0,17,-43070.765840554246
3.0,18,-35870.2862309533
3.0,19,-36094.015164621866
3.0,20,-43651.208255395155
3.0,21,-34459.83218674118
3.0,22,-37884.72091824085
3.0,23,-36061.27769755587
3.0,24,-37204.41095773964
3.0,25,-37103.39181269027
3.0,26,-38334.10665607794
3.0,27,-37051.03329066392
3.0,28,-35819.0724704024
3.0,29,-44710.60790024609
3.0,30,-36359.36431507104
3.0,31,-39141.21737892903
3.0,32,-34667.17085337828
3.0,33,-39699.30682381902
3.0,34,-36732.65021873972
3.0,35,-36156.43945780292
3.0,36,-35128.54028861274
3.0,37,-36346.882783890054
3.0,38,-38418.98356372428
3.0,39,-37809.68006893198
3.0,40,-36684.624742441294
3.0,41,-39683.19468753742
3.0,42,-36296.10200149765
3.0,43,-35126.511310058435
3.0,44,-37121.24956378669
3.0,45,-39213.88648037251
3.0,46,-36356.95417463602
3.0,47,-36643.27718716242
3.0,48,-37448.96280018151
3.0,49,-37826.72258029083
3.0,50,-37194.448324191435
3.0,51,-37707.37655448009
3.0,52,-36269.38893374244
3.0,53,-36904.83843835196
3.0,54,-46865.77663904123
3.0,55,-37173.46893521312
3.0,56,-37304.25401606526
3.0,57,-36294.984491133495
3.0,58,-37767.872198828445
3.0,59,-39480.279343631264
3.0,60,-36420.93854356635
3.0,61,-39535.58045457736
3.0,62,-35169.29188810575
3.0,63,-38519.94456662417
3.0,64,-38662.98060539214
3.0,65,-38884.665809492115
3.0,66,-36653.66817326809
3.0,67,-35638.42848286355
3.0,68,-40456.21926859922
3.0,69,-46144.650622719295
3.0,70,-35825.68020578078
3.0,71,-39449.10442857796
3.0,72,-35354.090249811285
3.0,73,-43570.076531122926
3.0,74,-38531.36430116389
3.0,75,-38955.99393896569
3.0,76,-36547.32057938402
3.0,77,-36833.74906154013
3.0,78,-41372.04117541794
3.0,79,-40987.503735438026
3.0,80,-38426.77721500355
3.0,81,-36682.36200544492
3.0,82,-37499.77980315342
3.0,83,-35487.28996668
3.0,84,-35409.59316348327
3.0,85,-40493.346024860075
3.0,86,-41680.54944799797
3.0,87,-36400.76463681853
3.0,88,-36534.28121359264
3.0,89,-36671.000799763155
3.0,90,-38228.44994380467
3.0,91,-37453.56342191712
3.0,92,-37269.084841270545
3.0,93,-36138.05541919202
3.0,94,-36818.50688244277
3.0,95,-44317.24261438538
3.0,96,-36681.85329127742
3.0,97,-36830.17456505165
3.0,98,-38869.54575478699
3.0,99,-38449.914095178276
3.0,100,-39516.702398271766
4.0,1,-39519.993160369144
4.0,2,-44019.37090939056
4.0,3,-41250.032929053756
4.0,4,-41394.79733898427
4.0,5,-39681.213063910815
4.0,6,-42427.3714630761
4.0,7,-42930.60205115066
4.0,8,-40406.867196310945
4.0,9,-42425.76107204839
4.0,10,-46086.018003582576
4.0,11,-42768.98017487455
4.0,12,-38513.792559141984
4.0,13,-43428.099008958445
4.0,14,-42422.009550728835
4.0,15,-45928.33866366939
4.0,16,-38283.414028065854
4.0,17,-49634.296294061125
4.0,18,-39625.26145136705
4.0,19,-40327.3312929097
4.0,20,-50000.500358007535
4.0,21,-37177.176154981105
4.0,22,-41347.226632293765
4.0,23,-39324.471445921416
4.0,24,-40787.31660215526
4.0,25,-41081.039825874184
4.0,26,-43060.76432066709
4.0,27,-41490.053208331636
4.0,28,-38838.777705875036
4.0,29,-50701.32833512767
4.0,30,-40373.73892040094
4.0,31,-43802.59457372649
4.0,32,-37552.97603059695
4.0,33,-43882.95972169853
4.0,34,-40712.50749443169
4.0,35,-39561.28486632627
4.0,36,-38538.40582954688
4.0,37,-40264.64047405639
4.0,38,-42757.99435698963
4.0,39,-42369.36215594251
4.0,40,-40449.98107090296
4.0,41,-44265.72341319084
4.0,42,-39740.41624931225
4.0,43,-38498.2304486699
4.0,44,-41559.12111873537
4.0,45,-44061.47258698796
4.0,46,-39641.866736454416
4.0,47,-40252.03130444151
4.0,48,-41919.20489658398
4.0,49,-41396.09026767407
4.0,50,-41701.606101200436
4.0,51,-41674.95922620092
4.0,52,-40475.04878417532
4.0,53,-40154.05022759782
4.0,54,-54038.93183436773
4.0,55,-41239.308875878756
4.0,56,-41526.2393719663
4.0,57,-39646.635520397205
4.0,58,-41583.99489751178
4.0,59,-44928.23501235837
4.0,60,-40149.772682285315
4.0,61,-44523.58860429153
4.0,62,-38647.90533823448
4.0,63,-42724.52419801504
4.0,64,-42993.233824790244
4.0,65,-44360.393074799365
4.0,66,-40804.14642215186
4.0,67,-39017.98828085712
4.0,68,-45781.00318420443
4.0,69,-52993.88037261308
4.0,70,-39727.06395722632
4.0,71,-44475.58989430929
4.0,72,-38826.34179403297
4.0,73,-49450.585757950146
4.0,74,-43068.20976218015
4.0,75,-44013.55129882126
4.0,76,-40144.47936540476
4.0,77,-41035.641590919586
4.0,78,-47285.60051322559
4.0,79,-46143.60360457909
4.0,80,-42222.04041086005
4.0,81,-39827.44583233303
4.0,82,-41329.59530340551
4.0,83,-39041.26603887536
4.0,84,-38406.15653156522
4.0,85,-45862.37404849985
4.0,86,-47964.79475762545
4.0,87,-40183.58664345588
4.0,88,-41290.57918156319
4.0,89,-40930.55653475305
4.0,90,-42944.11912894162
4.0,91,-41795.91220287952
4.0,92,-41723.10133164511
4.0,93,-40230.9356971058
4.0,94,-40641.532468021025
4.0,95,-50068.09603777047
4.0,96,-40385.46712268326
4.0,97,-41597.9333237662
4.0,98,-42929.75651576494
4.0,99,-43279.64664756775
4.0,100,-44858.06222501273
