ID_COMPTE,scn_eval,an_proj,TX_SURVIE,RENDEMENT,FLUX_NET_EXT,RESERVE,CAPITAL_REQUIREMENT,PROFIT,FLUX_DISTRIBUABLE,VP_FLUX_DISTRIBUABLE_YEARLY
3.0,2,28,0.10479424441566672,-1368.9087329757213,-706.376001298856,-5276.413248478472,-1301.7935310880703,-443.5587430748037,-117.76838361269711,-8.166454184247383
3.0,2,29,0.08970010062701174,-6320.23910610696,-684.4057723652027,-5109.056644199419,-1007.829047892681,-517.0491680861492,-223.08468489075995,-14.063126610210011
3.0,2,30,0.07678005693309947,13009.564157863322,-492.20971500071875,-2863.2106135442205,-1486.9861379242207,1753.6363156544796,1274.47922562294,73.03856063284351
3.0,2,31,0.06572096465268355,12301.082549954495,-339.8899632016851,-2017.8542887686708,-1498.8375803024328,505.46636157386456,493.6149191956524,25.716688097250685
3.0,2,32,0.056254779787969625,8301.26386767369,-247.71514213628996,-1615.9857400866902,-1438.5120053880057,154.1534065456907,214.47898146011778,10.158248050402786
3.0,2,33,0.04252568827115607,7787.935357192648,-458.215810484949,-1320.1341271108365,-1001.5550218533165,-162.36419750909533,274.5927860255939,11.823076870070587
3.0,2,34,0.03214720899720389,-11793.161078772091,-463.44502651112504,-1543.29922664183,-637.619355679622,-686.6101260421185,-322.67445986842404,-12.630289244105697
3.0,2,35,0.024301618347018293,-1858.0241252587452,-376.7405406335164,-1231.4492116712684,-475.32937727133003,-64.8905256629547,97.39945274533727,3.465872133150832
3.0,2,36,0.01837075978619179,17761.448838655655,-208.03654915005984,-745.0253838932956,-438.536383163241,278.3872786279129,315.18027273600194,10.195824732858654
3.0,2,37,0.013887339118852112,2535.4671976865143,-154.23646035723598,-569.7040869076362,-343.5603349986576,21.084836628423403,116.0608847930068,3.4131590482480703
3.0,2,38,0.010498106232218017,-1250.90642321086,-125.99043238529646,-360.8771534353644,-299.12628088799664,82.83650108697537,127.27055519763633,3.402560865305587
3.0,2,39,0.007936022410032747,-4532.972678061026,-109.2689106710014,-379.30145475075267,-204.2948449386414,-127.69321198638967,-32.86177603703443,-0.7986864385404341
3.0,2,40,0.005999220268819435,3618.892120559319,-80.23160568229093,-313.08467488930006,-161.28081640977058,-14.014825820838325,28.9992027080325,0.6407353003044794
3.0,2,41,0.004535098563773515,26463.104713592307,-31.337275616355384,-168.59102699026707,-162.57777559193485,113.15637228267761,111.85941310051334,2.246841541455323
3.0,2,42,0.0,23511.730820283126,-44.693505688162965,0.0,0.0,123.89752130210411,286.47529689403893,5.231116613428266
