AN_EVAL;MOIS_EVAL;PRIMES_GARANTIES;PREST_DECES;PREST_ECH;PREST_MRV;FRAIS_ACQUIS;COMM_VENTE;PRIMES_VARIABLES;FRAIS_FIXES;HON_GEST;COMM_MAINTIEN;VALEUR_MARCHANDE;PASSIF_REDRESSE;COUSSIN_CREDIT;COUSSIN_MARCHE;COUSSIN_DEPENSE;COUSSIN_DECHEANCE;COUSSIN_MORTALITE;COUSSIN_DEPOT
73;1;0.0;-3.2738557405561153e-07;0.0;0.0;0.0;0.0;0.0013585183059379544;-0.004480231154187356;-0.0001954950650630553;-0.0004954292038668134;2.7062531981726856;-0.0014847678338277624;-0.0008538751155758792;-0.0076063306502783656;-0.000530665238208932;-0.002710798781534253;-0.0009850778472457172;0.0
73;2;0.0;-3.3529616845070826e-07;0.0;0.0;0.0;0.0;0.0013260610977806387;-0.0043955851324241225;-0.00019069680232732835;-0.0004836153370199235;2.6407184243934387;-0.0014499030966481313;-0.000832588198294353;-0.0074366585580569085;-0.0005176365113866671;-0.002635843058105516;-0.0009608433469591529;0.0
73;3;0.0;-3.455654669751465e-07;0.0;0.0;0.0;0.0;0.0012962220410616336;-0.004312860400236409;-0.00018628266595784238;-0.0004727549536496593;2.5804496342916776;-0.001417864456127749;-0.0008129891937543721;-0.007273238599370126;-0.0005050473695006078;-0.0025630153464543883;-0.0009385107804993791;0.0
73;4;0.0;-3.502888841267712e-07;0.0;0.0;0.0;0.0;0.0012664471047529292;-0.0042319903547646046;-0.00018190273727557285;-0.0004619135007135489;2.5204800347649705;-0.0013857762035026486;-0.000793623772855829;-0.007106518370081692;-0.000492450517444401;-0.0024922521607744718;-0.0009164437357079837;0.0
73;5;0.0;-3.52649740868368e-07;0.0;0.0;0.0;0.0;0.001234482911479112;-0.004152900689659384;-0.00017719316784577707;-0.0004502762645604113;2.457246772524105;-0.0013519987663157275;-0.0007731733123509956;-0.006948141299420273;-0.00048046227648903444;-0.002424629755084386;-0.0008931591448078349;0.0
73;6;0.0;-4.282976366512848e-07;0.0;0.0;0.0;0.0;0.0012065676083258363;-0.00407637590451182;-0.0001730669988131675;-0.00044011545768780875;2.400835704427669;-0.0013219711740311288;-0.000754849932161988;-0.006799283766309146;-0.00046904784950649287;-0.0023588483224074646;-0.0008722654312601858;0.0
73;7;0.0;-4.401677167046798e-07;0.0;0.0;0.0;0.0;0.0011781192010341017;-0.00400096770859001;-0.0001688943030198241;-0.00042975485488826464;2.343594589383483;-0.001291241817863881;-0.0007364289186868457;-0.006644523719290443;-0.0004574883265587923;-0.0022949097177715054;-0.0008512661289057292;0.0
73;8;0.0;-4.198593254914681e-07;0.0;0.0;0.0;0.0;0.0011456598789566304;-0.003927294982597436;-0.00016417021905112887;-0.0004179269392386955;2.278536504190456;-0.0012560027934430213;-0.000715709681370669;-0.006479476515777781;-0.00044557672462831746;-0.0022327546777340924;-0.000827684669439937;0.0
73;9;0.0;-4.0278534485281767e-07;0.0;0.0;0.0;0.0;0.00111796592572551;-0.003855252932009048;-0.0001601189331590815;-0.00040783918414586984;2.2228867483388113;-0.001226036261440627;-0.0006978600592190692;-0.006329463691182855;-0.0004344836665083055;-0.0021723339502084417;-0.0008073349594069396;0.0
73;10;0.0;-3.823355406060832e-07;0.0;0.0;0.0;0.0;0.0010932056438246736;-0.0037848061852998067;-0.00015646049061242027;-0.00039882651758410114;2.172880449651246;-0.0011994160166695432;-0.0006816123728146328;-0.006196826830385738;-0.0004243142704774295;-0.0021135924704826898;-0.0007887901167208351;0.0
